dataset,model,accuracy,precision,recall,f1_score,auc
breast_cancer,lightgbm,0.6896551724137931,0.42857142857142855,0.17647058823529413,0.25,0.4791965566714491
heart_h,xgboost,0.847457627118644,0.8085106382978723,1.0,0.8941176470588236,0.9135338345864662
heart_h,lightgbm,0.8305084745762712,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.9141604010025062
heart_statlog,xgboost,0.6851851851851852,0.6666666666666666,0.5833333333333334,0.6222222222222222,0.8166666666666667
heart_statlog,lightgbm,0.6851851851851852,0.6521739130434783,0.625,0.6382978723404256,0.7944444444444444
hungarian,xgboost,0.8305084745762712,0.8666666666666667,0.6190476190476191,0.7222222222222222,0.8834586466165414
hungarian,lightgbm,0.7796610169491526,0.7857142857142857,0.5238095238095238,0.6285714285714286,0.9078947368421053
prnn_synth,xgboost,0.86,0.9090909090909091,0.8,0.851063829787234,0.9560000000000001
prnn_synth,lightgbm,0.9,0.9545454545454546,0.84,0.8936170212765957,0.9472
sonar,xgboost,0.8571428571428571,0.85,0.85,0.85,0.9431818181818181
sonar,lightgbm,0.9047619047619048,0.9,0.9,0.9,0.9636363636363636
spect,xgboost,0.8148148148148148,0.851063829787234,0.9302325581395349,0.8888888888888888,0.7885835095137421
spect,lightgbm,0.8148148148148148,0.851063829787234,0.9302325581395349,0.8888888888888888,0.7928118393234672
bupa,xgboost,0.6521739130434783,0.6410256410256411,0.7142857142857143,0.6756756756756757,0.7134453781512605
bupa,lightgbm,0.6521739130434783,0.6410256410256411,0.7142857142857143,0.6756756756756757,0.7075630252100841
cleve,xgboost,0.7540983606557377,0.7241379310344828,0.75,0.7368421052631579,0.8452380952380953
cleve,lightgbm,0.7377049180327869,0.7307692307692307,0.6785714285714286,0.7037037037037037,0.8614718614718615
colic,xgboost,0.8243243243243243,0.8269230769230769,0.9148936170212766,0.8686868686868687,0.8542159180457053
colic,lightgbm,0.8513513513513513,0.8333333333333334,0.9574468085106383,0.8910891089108911,0.8735224586288417
haberman,xgboost,0.6129032258064516,0.21428571428571427,0.1875,0.2,0.6603260869565217
haberman,lightgbm,0.6451612903225806,0.2857142857142857,0.25,0.26666666666666666,0.6841032608695652
heart_c,xgboost,0.8032786885245902,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.8571428571428571
heart_c,lightgbm,0.7868852459016393,0.7380952380952381,0.9393939393939394,0.8266666666666667,0.8647186147186148
horse_colic,xgboost,0.8513513513513513,0.8636363636363636,0.7037037037037037,0.7755102040816326,0.9018912529550827
horse_colic,lightgbm,0.8648648648648649,0.9047619047619048,0.7037037037037037,0.7916666666666666,0.8613081166272655
ionosphere,xgboost,0.9436619718309859,0.9375,0.9782608695652174,0.9574468085106383,0.9817391304347827
ionosphere,lightgbm,0.9436619718309859,0.92,1.0,0.9583333333333334,0.9947826086956522
spectf,xgboost,0.8571428571428571,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.8895768833849329
spectf,lightgbm,0.8142857142857143,0.8958333333333334,0.8431372549019608,0.8686868686868687,0.9019607843137254
clean1,xgboost,1.0,1.0,1.0,1.0,1.0
clean1,lightgbm,1.0,1.0,1.0,1.0,1.0
house_votes_84,xgboost,0.9655172413793104,0.9428571428571428,0.9705882352941176,0.9565217391304348,0.9922308546059934
house_votes_84,lightgbm,0.9770114942528736,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9955604883462819
irish,xgboost,1.0,1.0,1.0,1.0,1.0
irish,lightgbm,1.0,1.0,1.0,1.0,1.0
saheart,xgboost,0.7096774193548387,0.631578947368421,0.375,0.47058823529411764,0.7710040983606558
saheart,lightgbm,0.7419354838709677,0.6666666666666666,0.5,0.5714285714285714,0.7730532786885246
vote,xgboost,0.9655172413793104,0.918918918918919,1.0,0.9577464788732394,0.995560488346282
vote,lightgbm,0.9540229885057471,0.8947368421052632,1.0,0.9444444444444444,0.9933407325194229
